Account Number,Hash,name,bal,tran limit,withdraw limit,join date
521223025483,e10adc3949ba59abbe56e057f20f883e,Test,48520.0,5000.0,3000.0,
521223008524,e10adc3949ba59abbe56e057f20f883e,Peter Ang,5555.0,80000.0,20000.0,
521223023210,e10adc3949ba59abbe56e057f20f883e,Jun Wei,0.0,8000.5,2000.0,
521223023311,e10adc3949ba59abbe56e057f20f883e,Jun Wei,0.0,2000.0,2000.0,
521223023412,e10adc3949ba59abbe56e057f20f883e,Jun Wei,523600.0,6500.0,2000.0,
521223023513,e10adc3949ba59abbe56e057f20f883e,Jun Wei,0.0,2000.0,2000.0,
521223023614,e10adc3949ba59abbe56e057f20f883e,Jun Wei,0.0,2000.0,2000.0,
409023023715,e10adc3949ba59abbe56e057f20f883e,Jun Wei,0.0,2000.0,2000.0,
521223023916,e10adc3949ba59abbe56e057f20f883e,Jun Wei,0.0,2000.0,2000.0,
521223024017,e10adc3949ba59abbe56e057f20f883e,jeff,100.0,10000.0,10000.0,
521223024018,c33367701511b4f6020ec61ded352059,Ayan,500.0,2000.0,1000.0,
521223024019,e10adc3949ba59abbe56e057f20f883e,Ryan,1212.0,200.0,500.0,
521223024020,e10adc3949ba59abbe56e057f20f883e,Plain,2300.0,1000.0,200.0,
521223024021,e10adc3949ba59abbe56e057f20f883e,Kiara,700453.4,5000.0,7000.0,
521223024022,c33367701511b4f6020ec61ded352059,Flint,628.0,1800.0,800.0,
521223024023,e10adc3949ba59abbe56e057f20f883e,Jordan,1800.0,3000.0,2000.0,
521223024024,e10adc3949ba59abbe56e057f20f883e,Jordan Lee,0.0,3000.0,2000.0,
521223024025,81e2bede62a4e920d0cf260a4a0e8498,Jordan Leo,0.0,200.0,200.0,
521223024026,e10adc3949ba59abbe56e057f20f883e,Hannah Grace,6200.0,500.0,2000.0,
521223024027,c33367701511b4f6020ec61ded352059,Shyam,500.0,350.0,1000.0,
521223024028,c33367701511b4f6020ec61ded352059,Ryan Lee,1200.0,350.0,500.0,
521223024029,e10adc3949ba59abbe56e057f20f883e,New Account,0.0,50.0,50.0,
